IP地址,端口,TLS,数据中心,地区,城市,ASN,网络延迟
142.171.92.117,80,false,LAX,North America,Los Angeles,35916,53 ms
2607:f130:0:f3:ff:ff:a79e:ded6,16266,true,LAX,North America,Los Angeles,35916,197 ms
2607:f130:0:f3:ff:ff:a79e:ded6,16844,true,LAX,North America,Los Angeles,35916,197 ms
2607:f130:0:f3:ff:ff:a79e:ded6,16105,true,LAX,North America,Los Angeles,35916,197 ms
2607:f130:0:f3:ff:ff:a79e:ded6,16206,true,LAX,North America,Los Angeles,35916,198 ms
2607:f130:0:f3:ff:ff:a79e:ded6,16412,true,LAX,North America,Los Angeles,35916,198 ms
2607:f130:0:f3:ff:ff:a79e:ded6,16118,true,LAX,North America,Los Angeles,35916,199 ms
2607:f130:0:f3:ff:ff:a79e:ded6,16617,true,LAX,North America,Los Angeles,35916,199 ms
2607:f130:0:f3:ff:ff:a79e:ded6,16383,true,LAX,North America,Los Angeles,35916,199 ms
142.171.139.183,27383,true,LAX,North America,Los Angeles,35916,199 ms
2607:f130:0:f3:ff:ff:a79e:ded6,16551,true,LAX,North America,Los Angeles,35916,199 ms
2607:f130:0:f3:ff:ff:a79e:ded6,16315,true,LAX,North America,Los Angeles,35916,199 ms
2607:f130:0:f3:ff:ff:a79e:ded6,16262,true,LAX,North America,Los Angeles,35916,199 ms
2607:f130:0:f3:ff:ff:a79e:ded6,16026,true,LAX,North America,Los Angeles,35916,199 ms
2607:f130:0:f3:ff:ff:a79e:ded6,16358,true,LAX,North America,Los Angeles,35916,199 ms
2607:f130:0:f3:ff:ff:a79e:ded6,16894,true,LAX,North America,Los Angeles,35916,199 ms
2607:f130:0:f3:ff:ff:a79e:ded6,16386,true,LAX,North America,Los Angeles,35916,199 ms
142.171.58.230,5001,true,LAX,North America,Los Angeles,35916,199 ms
2607:f130:0:f3:ff:ff:a79e:ded6,16496,true,LAX,North America,Los Angeles,35916,199 ms
2607:f130:0:f3:ff:ff:a79e:ded6,16726,true,LAX,North America,Los Angeles,35916,199 ms
2607:f130:0:f3:ff:ff:a79e:ded6,16804,true,LAX,North America,Los Angeles,35916,200 ms
2607:f130:0:f3:ff:ff:a79e:ded6,16912,true,LAX,North America,Los Angeles,35916,200 ms
2607:f130:0:f3:ff:ff:a79e:ded6,16162,true,LAX,North America,Los Angeles,35916,200 ms
2607:f130:0:f3:ff:ff:a79e:ded6,16168,true,LAX,North America,Los Angeles,35916,200 ms
2607:f130:0:f3:ff:ff:a79e:ded6,16572,true,LAX,North America,Los Angeles,35916,200 ms
2607:f130:0:f3:ff:ff:a79e:ded6,16410,true,LAX,North America,Los Angeles,35916,200 ms
2607:f130:0:f3:ff:ff:a79e:ded6,16724,true,LAX,North America,Los Angeles,35916,200 ms
2607:f130:0:105:216:3cff:fe80:6d6d,443,true,LAX,North America,Los Angeles,35916,200 ms
2607:f130:0:f3:ff:ff:a79e:ded6,16079,true,LAX,North America,Los Angeles,35916,200 ms
2607:f130:0:199::4b83:754a,9999,true,LAX,North America,Los Angeles,35916,200 ms
2607:f130:0:193:216:3cff:fe39:2112,12300,true,LAX,North America,Los Angeles,35916,200 ms
2607:f130:0:f3:ff:ff:a79e:ded6,16188,true,LAX,North America,Los Angeles,35916,200 ms
2607:f130:0:f3:ff:ff:a79e:ded6,16761,true,LAX,North America,Los Angeles,35916,200 ms
2607:f130:0:f3:ff:ff:a79e:ded6,16284,true,LAX,North America,Los Angeles,35916,201 ms
2607:f130:0:190:216:3eff:fe67:9a12,993,true,LAX,North America,Los Angeles,35916,201 ms
2607:f130:0:f3:ff:ff:a79e:ded6,16848,true,LAX,North America,Los Angeles,35916,201 ms
2607:f130:0:105:216:3cff:feaf:a407,587,true,LAX,North America,Los Angeles,35916,201 ms
2607:f130:0:141:216:3eff:fe1d:bc08,16004,true,LAX,North America,Los Angeles,35916,201 ms
2607:f130:0:f3::f65b:1a21,2201,true,LAX,North America,Los Angeles,35916,201 ms
2607:f130:0:f3:ff:ff:a79e:ded6,16014,true,LAX,North America,Los Angeles,35916,201 ms
2607:f130:0:f3:ff:ff:a79e:ded6,16659,true,LAX,North America,Los Angeles,35916,201 ms
2607:f130:0:f3:ff:ff:a79e:ded6,16803,true,LAX,North America,Los Angeles,35916,201 ms
2607:f130:0:f3:ff:ff:d53:5f3a,8443,true,LAX,North America,Los Angeles,35916,201 ms
2607:f130:0:f3:ff:ff:a79e:ded6,16094,true,LAX,North America,Los Angeles,35916,201 ms
142.171.220.46,443,true,LAX,North America,Los Angeles,35916,201 ms
142.171.175.189,25565,true,LAX,North America,Los Angeles,35916,201 ms
2607:f130:0:141::1d00:9701,443,true,LAX,North America,Los Angeles,35916,201 ms
2607:f130:0:f3:ff:ff:a79e:ded6,16299,true,LAX,North America,Los Angeles,35916,201 ms
142.171.251.179,2053,true,LAX,North America,Los Angeles,35916,202 ms
2607:f130:0:f3:ff:ff:a79e:ded6,16455,true,LAX,North America,Los Angeles,35916,202 ms
2607:f130:0:f3:ff:ff:a79e:ded6,16187,true,LAX,North America,Los Angeles,35916,202 ms
2607:f130:0:f3:ff:ff:a79e:ded6,16170,true,LAX,North America,Los Angeles,35916,202 ms
2607:f130:0:f3:ff:ff:a79e:ded6,16869,true,LAX,North America,Los Angeles,35916,202 ms
2607:f130:0:f3:ff:ff:a79e:ded6,16738,true,LAX,North America,Los Angeles,35916,202 ms
2607:f130:0:f3:ff:ff:a79e:ded6,16319,true,LAX,North America,Los Angeles,35916,202 ms
2607:f130:0:f3:ff:ff:a79e:ded6,16765,true,LAX,North America,Los Angeles,35916,202 ms
142.171.33.99,443,false,LAX,North America,Los Angeles,35916,202 ms
2607:f130:0:f3:ff:ff:a79e:ded6,16429,true,LAX,North America,Los Angeles,35916,202 ms
