IP地址,端口,TLS,数据中心,地区,国际代码,国家,城市,网络延迟,下载速度MB/s
154.211.8.1,2083,TRUE,SJC,北美洲,US,美国,圣何塞,163 ms,11.06
154.211.8.1,2087,TRUE,SJC,北美洲,US,美国,圣何塞,154 ms,9.72
154.211.8.1,2096,TRUE,SJC,北美洲,US,美国,圣何塞,155 ms,6.52
154.211.8.1,8443,TRUE,SJC,北美洲,US,美国,圣何塞,159 ms,4.74
154.211.8.2,2087,TRUE,SJC,北美洲,US,美国,圣何塞,158 ms,2.48
154.93.104.54,18888,TRUE,HKG,亚太,HK,香港,香港,21 ms,1.02
154.211.8.2,2053,TRUE,SJC,北美洲,US,美国,圣何塞,154 ms,0.82
154.211.8.2,8443,TRUE,SJC,北美洲,US,美国,圣何塞,154 ms,0.54
154.211.8.1,2053,TRUE,SJC,北美洲,US,美国,圣何塞,159 ms,0.2
154.211.8.1,443,TRUE,SJC,北美洲,US,美国,圣何塞,159 ms,0.19
154.211.8.2,443,TRUE,SJC,北美洲,US,美国,圣何塞,155 ms,0.16
